name,createdAt,updatedAt,pullRequests,releases,primaryLanguage,issuesclosed,issuesopen,url,stargazerCount
Luban,2016-07-24T07:43:21Z,2022-09-12T00:05:42Z,11,6,Java,227,139,https://github.com/Curzibn/Luban,13047
antlr4,2010-02-04T01:36:28Z,2022-09-12T01:04:32Z,1346,27,Java,1326,652,https://github.com/antlr/antlr4,12918
hadoop,2014-08-28T07:00:08Z,2022-09-11T00:36:25Z,2511,0,Java,0,0,https://github.com/apache/hadoop,12914
flink-learning,2019-01-01T07:38:28Z,2022-09-10T02:11:59Z,15,0,Java,0,0,https://github.com/zhisheng17/flink-learning,12690
AndroidAutoSize,2018-08-17T09:04:19Z,2022-09-10T07:56:14Z,4,14,Java,322,91,https://github.com/JessYanCoding/AndroidAutoSize,12612
deeplearning4j,2013-11-27T02:03:28Z,2022-09-11T15:10:57Z,3739,0,Java,4867,759,https://github.com/deeplearning4j/deeplearning4j,12608
stetho,2015-01-22T22:34:10Z,2022-09-11T23:38:55Z,267,13,Java,314,62,https://github.com/facebook/stetho,12576
greenDAO,2011-10-22T16:15:14Z,2022-09-08T02:38:55Z,37,8,Java,777,191,https://github.com/greenrobot/greenDAO,12545
pinpoint,2014-10-20T09:27:22Z,2022-09-10T08:23:35Z,5042,50,Java,3304,300,https://github.com/pinpoint-apm/pinpoint,12370
BigData-Notes,2019-03-10T01:40:01Z,2022-09-11T16:20:08Z,5,0,Java,23,18,https://github.com/heibaiying/BigData-Notes,12364
Matisse,2017-04-13T01:31:05Z,2022-09-09T03:13:31Z,67,15,Java,308,399,https://github.com/zhihu/Matisse,12326
thingsboard,2016-12-01T09:33:30Z,2022-09-11T19:24:25Z,2297,50,Java,3097,1163,https://github.com/thingsboard/thingsboard,12321
AndroidSwipeLayout,2014-08-25T04:09:33Z,2022-09-11T03:36:29Z,22,18,Java,146,354,https://github.com/daimajia/AndroidSwipeLayout,12258
caffeine,2014-12-13T08:45:11Z,2022-09-11T10:39:58Z,87,61,Java,557,3,https://github.com/ben-manes/caffeine,12189
AndroidViewAnimations,2014-06-23T03:53:13Z,2022-09-10T00:48:10Z,22,9,Java,81,53,https://github.com/daimajia/AndroidViewAnimations,12179
zuul,2013-03-13T18:53:57Z,2022-09-11T17:07:57Z,570,5,Java,300,234,https://github.com/Netflix/zuul,12166
jib,2018-01-22T18:30:43Z,2022-09-11T10:32:31Z,2121,141,Java,1336,99,https://github.com/GoogleContainerTools/jib,12124
banner,2016-04-22T05:50:25Z,2022-09-11T13:45:02Z,15,0,Java,904,225,https://github.com/youth5201314/banner,12124
druid,2012-10-23T19:08:07Z,2022-09-11T16:54:01Z,7342,49,Java,3105,1353,https://github.com/apache/druid,12030
ip2region,2015-11-02T00:43:13Z,2022-09-12T00:31:01Z,60,0,Java,140,36,https://github.com/lionsoul2014/ip2region,11978
spring-analysis,2016-09-09T07:46:32Z,2022-09-11T17:00:58Z,6,0,Java,3,10,https://github.com/seaswalker/spring-analysis,11960
DataX,2018-01-18T10:09:47Z,2022-09-11T07:18:19Z,84,1,Java,269,813,https://github.com/alibaba/DataX,11930
PictureSelector,2017-01-04T07:47:39Z,2022-09-11T11:11:22Z,7,111,Java,2175,257,https://github.com/LuckSiege/PictureSelector,11882
Auto.js,2017-01-27T01:01:16Z,2022-09-12T01:19:58Z,37,0,Java,609,77,https://github.com/hyb1996/Auto.js,11880
piggymetrics,2015-03-29T17:56:31Z,2022-09-11T20:15:36Z,22,2,Java,0,0,https://github.com/sqshq/piggymetrics,11865
jd-gui,2015-03-25T05:28:41Z,2022-09-11T23:33:52Z,9,18,Java,172,172,https://github.com/java-decompiler/jd-gui,11600
VasSonic,2017-08-01T08:35:13Z,2022-09-09T14:54:44Z,70,10,Java,203,41,https://github.com/Tencent/VasSonic,11584
pulsar,2016-06-28T07:00:03Z,2022-09-11T07:04:31Z,10308,59,Java,3609,1888,https://github.com/apache/pulsar,11547
eureka,2012-07-26T22:23:07Z,2022-09-11T13:34:03Z,737,142,Java,557,44,https://github.com/Netflix/eureka,11459
lombok,2009-06-08T19:46:41Z,2022-09-11T17:57:14Z,279,3,Java,2088,737,https://github.com/projectlombok/lombok,11454
guice,2014-05-28T23:18:53Z,2022-09-11T14:17:18Z,293,15,Java,820,325,https://github.com/google/guice,11435
mall-learning,2019-04-12T13:20:31Z,2022-09-11T11:22:43Z,0,0,Java,71,14,https://github.com/macrozheng/mall-learning,11341
Mybatis-PageHelper,2014-06-09T15:32:30Z,2022-09-08T07:35:28Z,27,10,Java,567,78,https://github.com/pagehelper/Mybatis-PageHelper,11331
uCrop,2016-01-05T13:41:06Z,2022-09-12T00:45:43Z,104,15,Java,438,215,https://github.com/Yalantis/uCrop,11317
realm-java,2012-04-20T09:18:42Z,2022-09-11T11:42:08Z,2671,0,Java,4118,361,https://github.com/realm/realm-java,11317
spring-boot-admin,2014-07-25T11:39:13Z,2022-09-11T15:07:06Z,403,84,Java,1437,35,https://github.com/codecentric/spring-boot-admin,11165
androidannotations,2012-01-06T08:48:03Z,2022-09-09T10:58:21Z,551,0,Java,1610,50,https://github.com/androidannotations/androidannotations,11156
SlidingMenu,2012-06-30T05:14:23Z,2022-09-11T08:57:24Z,35,0,Java,382,263,https://github.com/jfeinstein10/SlidingMenu,11155
PermissionsDispatcher,2015-08-15T21:41:05Z,2022-09-08T09:13:18Z,260,40,Java,452,21,https://github.com/permissions-dispatcher/PermissionsDispatcher,11036
source-code-hunter,2019-10-28T01:35:10Z,2022-09-11T14:44:43Z,105,0,Java,15,4,https://github.com/doocs/source-code-hunter,10859
vlayout,2017-02-27T08:11:47Z,2022-09-10T04:45:40Z,13,34,Java,313,190,https://github.com/alibaba/vlayout,10831
zookeeper,2009-03-27T15:41:56Z,2022-09-11T17:24:01Z,7,0,Java,0,0,https://github.com/apache/zookeeper,10797
fullstack-tutorial,2018-04-13T01:50:10Z,2022-09-11T15:22:10Z,26,0,Java,18,18,https://github.com/frank-lam/fullstack-tutorial,10740
FlycoTabLayout,2015-11-09T01:53:19Z,2022-09-09T02:35:04Z,0,4,Java,179,346,https://github.com/H07000223/FlycoTabLayout,10703
quarkus,2018-07-06T00:44:20Z,2022-09-11T12:09:59Z,13863,188,Java,9624,1934,https://github.com/quarkusio/quarkus,10667
jedis,2010-06-11T13:04:43Z,2022-09-11T21:29:23Z,932,69,Java,1469,146,https://github.com/redis/jedis,10654
