name,createdAt,updatedAt,pullRequests,releases,primaryLanguage,issuesclosed,issuesopen,url,stargazerCount
scrapy,2010-02-22T02:01:14Z,2022-10-02T21:55:48Z,1829,28,Python,2182,520,https://github.com/scrapy/scrapy,44686
design-resources-for-developers,2020-05-06T14:40:35Z,2022-10-02T20:01:26Z,798,0,,80,0,https://github.com/bradtraversy/design-resources-for-developers,44330
awesome-for-beginners,2015-10-24T19:53:36Z,2022-10-02T23:51:51Z,334,0,,104,4,https://github.com/MunGell/awesome-for-beginners,44176
prettier,2016-11-29T17:13:37Z,2022-10-02T23:01:14Z,6463,85,JavaScript,4802,902,https://github.com/prettier/prettier,43935
cs-video-courses,2016-10-21T17:02:11Z,2022-10-02T21:52:22Z,108,0,,79,6,https://github.com/Developer-Y/cs-video-courses,43823
localstack,2016-10-25T23:48:03Z,2022-10-02T21:40:32Z,2703,56,Python,3612,291,https://github.com/localstack/localstack,43744
serverless,2015-04-21T03:48:40Z,2022-10-02T16:04:14Z,4293,348,JavaScript,4839,918,https://github.com/serverless/serverless,43540
caddy,2015-01-13T19:45:03Z,2022-10-02T23:09:28Z,1460,100,Go,3084,65,https://github.com/caddyserver/caddy,43453
meteor,2012-01-19T01:58:17Z,2022-10-02T16:11:33Z,1638,0,JavaScript,8627,146,https://github.com/meteor/meteor,43044
awesome-flutter,2017-05-07T11:45:27Z,2022-10-02T20:01:28Z,416,0,Dart,0,0,https://github.com/Solido/awesome-flutter,43038
awesome-courses,2014-11-15T18:36:49Z,2022-10-02T22:06:44Z,184,0,,34,30,https://github.com/prakhar1989/awesome-courses,42974
okhttp,2012-07-23T13:42:55Z,2022-10-02T09:00:29Z,2944,0,Kotlin,3577,135,https://github.com/square/okhttp,42946
learn-regex,2017-07-22T12:21:03Z,2022-10-02T20:39:29Z,124,0,,35,48,https://github.com/ziishaned/learn-regex,42833
kotlin,2012-02-13T17:29:58Z,2022-10-02T16:38:38Z,1999,191,Kotlin,0,0,https://github.com/JetBrains/kotlin,42747
ML-For-Beginners,2021-03-03T01:34:05Z,2022-10-02T21:22:58Z,336,0,Jupyter Notebook,0,0,https://github.com/microsoft/ML-For-Beginners,42381
faceswap,2017-12-19T09:44:13Z,2022-10-02T20:01:37Z,343,3,Python,763,14,https://github.com/deepfakes/faceswap,42361
alacritty,2016-02-18T05:02:30Z,2022-10-02T22:54:28Z,1469,73,Rust,4129,304,https://github.com/alacritty/alacritty,42131
SecLists,2012-02-19T01:30:18Z,2022-10-02T21:09:24Z,449,17,PHP,174,25,https://github.com/danielmiessler/SecLists,42033
obs-studio,2013-10-01T02:40:31Z,2022-10-02T22:04:42Z,3136,164,C,1994,507,https://github.com/obsproject/obs-studio,41968
imgui,2014-07-21T14:29:47Z,2022-10-02T22:21:14Z,292,79,C++,3647,670,https://github.com/ocornut/imgui,41951
AdminLTE,2013-12-25T02:52:40Z,2022-10-02T21:50:34Z,1132,72,JavaScript,2652,57,https://github.com/ColorlibHQ/AdminLTE,41553
